Text,True_Label,Predicted_Label,MuRIL_Prob,XLM_Prob,Ensemble_Prob,Model_Disagreement,Error_Type,Raw_Confidence
मैं नाइ था नाइ हूँ और नाइ ही रहूंगा,1,0,0.0029,0.0007,0.0018,False,False Negative (Missed Hate),0.9982
tujhe logo ko ungli karne me bahut maja aata he isliye padai pe dhyan nahi de pa rahi he,1,0,0.0029,0.0007,0.0018,False,False Negative (Missed Hate),0.9982
is dhruv ke t sochte h fact based video dekh rhe jbki asli whatsapp university wale whi h,1,0,0.0029,0.0006,0.0018,False,False Negative (Missed Hate),0.9982
jldi isko iska resut bhi milega ye khud halla se hui h,1,0,0.003,0.0007,0.0018,False,False Negative (Missed Hate),0.9982
is ran..di ki car ka insurance nahi hai kya,1,0,0.0029,0.0007,0.0018,False,False Negative (Missed Hate),0.9982
nikal khebri jai shree ram,1,0,0.0029,0.0006,0.0018,False,False Negative (Missed Hate),0.9982
dance party popper party red,1,0,0.0029,0.0007,0.0018,False,False Negative (Missed Hate),0.9982
atankvadi,1,0,0.0029,0.0006,0.0018,False,False Negative (Missed Hate),0.9982
truth hai yar.,1,0,0.0029,0.0007,0.0018,False,False Negative (Missed Hate),0.9982
ye kya hai isko muh me loli pop do,1,0,0.0029,0.0008,0.0018,False,False Negative (Missed Hate),0.9982
abhi sir kar to babbe do fir dekhna khatakhat khatakhat khatakhat,1,0,0.0029,0.0006,0.0018,False,False Negative (Missed Hate),0.9982
game karyla da lagto(boys 2),1,0,0.0029,0.0007,0.0018,False,False Negative (Missed Hate),0.9982
मस्त bocha दाबतो तू majja आहे,1,0,0.0029,0.0007,0.0018,False,False Negative (Missed Hate),0.9982
ye to gundi ladki hai,1,0,0.0029,0.0007,0.0018,False,False Negative (Missed Hate),0.9982
halla krva ho to bta dena,1,0,0.0029,0.0007,0.0018,False,False Negative (Missed Hate),0.9982
ye bhimte log babasahab ki kitab he padhi nahi mimte ko support karte he,1,0,0.003,0.0007,0.0018,False,False Negative (Missed Hate),0.9982
jai shree ram ~ab kya kronge radi bacchiyo,1,0,0.0029,0.0007,0.0018,False,False Negative (Missed Hate),0.9982
in logo ko muslim naam se itne gan.d kyun jalti hai bhai,1,0,0.0029,0.0006,0.0018,False,False Negative (Missed Hate),0.9982
mag he boltat ki amala shivya detat loka,1,0,0.0029,0.0007,0.0018,False,False Negative (Missed Hate),0.9982
madam kyun itna halla kr rahi ho insaurance company pay karegi,1,0,0.0029,0.0006,0.0018,False,False Negative (Missed Hate),0.9982
dekhane se congress ki rakhel najar aa rahi hai,1,0,0.0029,0.0006,0.0018,False,False Negative (Missed Hate),0.9982
iska koi dharm nahi hai tharki kom ka parinda,1,0,0.0029,0.0007,0.0018,False,False Negative (Missed Hate),0.9982
laltern,1,0,0.0029,0.0007,0.0018,False,False Negative (Missed Hate),0.9982
"लोकसभा चुनाव 2019: विवाद पर बोले मणिशंकर: मुझे ★ #नीच ★ पर सफाई देने की जरूरत नहीं, ★9 दिन में बदलेगी सरकार★ link … download indiatv official app: link … – at new yamuna bridge",1,0,0.0031,0.0006,0.0018,False,False Negative (Missed Hate),0.9982
aapki sarkaar nhi thi iska mtlb aapka 1981 me aapka koi yogdaan nhi tha aur aap kewal halla krna jante ho uske alawa kuch nhi,1,0,0.0029,0.0009,0.0019,False,False Negative (Missed Hate),0.9981
nak kapa surpankha cha,1,0,0.0029,0.0008,0.0019,False,False Negative (Missed Hate),0.9981
uuuaaaa simon peter,1,0,0.0031,0.0007,0.0019,False,False Negative (Missed Hate),0.9981
dhruv rathee tmck,1,0,0.003,0.0007,0.0019,False,False Negative (Missed Hate),0.9981
all bull's eye,1,0,0.0031,0.0006,0.0019,False,False Negative (Missed Hate),0.9981
hindu dharm esa dharm hai agar koi kahi paad bhi de to inka dharm khatre me aa jata hai,1,0,0.003,0.0007,0.0019,False,False Negative (Missed Hate),0.9981
times like all its kind,1,0,0.003,0.0009,0.0019,False,False Negative (Missed Hate),0.9981
ek baar ke liye modi ji se panga le lena lakin sudhanshu trivedi ji se nahi nanga kr denge congress and dhruv rathi supporters ko,1,0,0.0029,0.0008,0.0019,False,False Negative (Missed Hate),0.9981
eat 5 star do nothing +. dar ki man ki c,1,0,0.0029,0.0009,0.0019,False,False Negative (Missed Hate),0.9981
model construct,1,0,0.0031,0.0007,0.0019,False,False Negative (Missed Hate),0.9981
"itna to google ke pass bhi data nhi hai, dhruv rathi ko bolo da chatna band kare",1,0,0.0031,0.0007,0.0019,False,False Negative (Missed Hate),0.9981
episode ii,1,0,0.003,0.0009,0.0019,False,False Negative (Missed Hate),0.9981
katwe ki rakhel hai sahi hai na,1,0,0.0031,0.0007,0.0019,False,False Negative (Missed Hate),0.9981
भड़वा गिरी कर 2 करोड क्युं?? 20 करोड़ भी हो जाएंगे...,1,0,0.0029,0.0009,0.0019,False,False Negative (Missed Hate),0.9981
"छत्तीसगढ़: रायपुर नगर निगम में 'कीचड़ कांड', बीजेपी के पार्षद ने मोहल्ले के नाले की गंदगी सदन में फैलाई link …",1,0,0.0031,0.0007,0.0019,False,False Negative (Missed Hate),0.9981
hii ramdi hai,1,0,0.0029,0.0008,0.0019,False,False Negative (Missed Hate),0.9981
ab bol m,1,0,0.0029,0.0012,0.002,False,False Negative (Missed Hate),0.998
last riddance,1,0,0.0031,0.001,0.002,False,False Negative (Missed Hate),0.998
the proof from,1,0,0.003,0.001,0.002,False,False Negative (Missed Hate),0.998
"#aimim chief says to the chair, 'aap referee hai, pls don't be part of the game .' #parliamentsession",1,0,0.0033,0.0007,0.002,False,False Negative (Missed Hate),0.998
will thank him social media,1,0,0.0033,0.0007,0.002,False,False Negative (Missed Hate),0.998
बिहार में धर्म खतरे में है जल्दी चलो सभी अंधभक्त link,1,0,0.003,0.0009,0.002,False,False Negative (Missed Hate),0.998
